"id","task","inducer","right","left","key","congruent_rating","congruent_exp"
501,"shape","complexity","smooth:complex","smooth:simple","2",1,NA
501,"complexity","pitch","simple:low","simple:high","-1",0,NA
501,"complexity","hue","simple:blue","simple:red","2",1,NA
501,"complexity","timbre","simple:square","simple:sine","2",1,NA
501,"hue","timbre","red:square","red:sine","3",1,NA
501,"hue","pitch","red:low","red:high","-3",0,NA
501,"lightness","timbre","dark:sine","dark:square","3",0,1
501,"shape","hue","smooth:blue","smooth:red","2",1,NA
501,"hue","lightness","red:light","red:dark","1",1,NA
501,"shape","timbre","smooth:sine","smooth:square","2",0,1
501,"complexity","lightness","simple:light","simple:dark","-1",0,NA
501,"shape","pitch","smooth:low","smooth:high","0",NA,1
501,"lightness","pitch","dark:low","dark:high","3",1,1
501,"shape","lightness","smooth:light","smooth:dark","1",1,NA
501,"timbre","pitch","sine:low","sine:high","-1",0,NA
501,"shape","complexity","smooth:complex","smooth:simple","0",NA,NA
501,"complexity","pitch","simple:low","simple:high","2",1,NA
501,"complexity","hue","simple:blue","simple:red","1",1,NA
501,"complexity","timbre","simple:square","simple:sine","-1",0,NA
501,"hue","timbre","red:square","red:sine","2",1,NA
501,"hue","pitch","red:low","red:high","-2",0,NA
501,"lightness","timbre","dark:sine","dark:square","3",0,1
501,"shape","hue","smooth:blue","smooth:red","-3",0,NA
501,"hue","lightness","red:light","red:dark","0",NA,NA
501,"shape","timbre","smooth:sine","smooth:square","1",0,1
501,"complexity","lightness","simple:light","simple:dark","0",NA,NA
501,"shape","pitch","smooth:low","smooth:high","1",1,1
501,"lightness","pitch","dark:low","dark:high","3",1,1
501,"shape","lightness","smooth:light","smooth:dark","1",1,NA
501,"timbre","pitch","sine:low","sine:high","0",NA,NA
501,"shape","complexity","smooth:complex","smooth:simple","2",1,NA
501,"complexity","pitch","simple:low","simple:high","1",1,NA
501,"complexity","hue","simple:blue","simple:red","2",1,NA
501,"complexity","timbre","simple:square","simple:sine","-1",0,NA
501,"hue","timbre","red:square","red:sine","3",1,NA
501,"hue","pitch","red:low","red:high","-3",0,NA
501,"lightness","timbre","dark:sine","dark:square","2",0,1
501,"shape","hue","smooth:blue","smooth:red","1",1,NA
501,"hue","lightness","red:light","red:dark","0",NA,NA
501,"shape","timbre","smooth:sine","smooth:square","1",0,1
501,"complexity","lightness","simple:light","simple:dark","0",NA,NA
501,"shape","pitch","smooth:low","smooth:high","1",1,1
501,"lightness","pitch","dark:low","dark:high","2",1,1
501,"shape","lightness","smooth:light","smooth:dark","1",1,NA
501,"timbre","pitch","sine:low","sine:high","0",NA,NA
502,"complexity","pitch","simple:low","simple:high","-1",0,NA
502,"shape","timbre","smooth:sine","smooth:square","3",0,1
502,"hue","lightness","red:light","red:dark","0",NA,NA
502,"lightness","pitch","dark:low","dark:high","2",1,1
502,"hue","timbre","red:square","red:sine","0",NA,NA
