right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:blue;;;visual;0;pointy;;;False;45.906;hue;;True;red;;50;7;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
smooth:square;;;visual;0;pointy;;neutral;True;10.882;timbre;;True;neutral;;75;1;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
simple:light;;;visual;0;neutral;;;False;16.619;lightness;;True;neutral;;75;7;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
smooth:complex;;;visual;0;pointy;;;False;34.347;complexity;;True;neutral;;50;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
dark:low;;;visual;0;neutral;;high;True;5.08;pitch;;True;neutral;;50;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
simple:blue;;;visual;0;neutral;;;False;13.89;hue;;True;red;;75;7;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
red:light;;;visual;0;neutral;;;False;11.815;lightness;;True;blue;;50;2;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
dark:square;;;visual;0;neutral;;neutral;True;2.698;timbre;;True;neutral;;50;7;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
smooth:light;;;visual;0;pointy;;;False;13.456;lightness;;True;neutral;;50;7;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
red:square;;;visual;0;neutral;;neutral;True;5.408;timbre;;True;red;;50;7;rate;auditory;neutral;hue;square;0;neutral;;red:sine;red:square;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
sine:low;;;auditory;0;neutral;;high;True;8.586;pitch;;1;neutral;;50;7;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
simple:low;;;visual;0;neutral;;high;True;2.515;pitch;;True;neutral;;75;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
simple:square;;;visual;0;neutral;;neutral;True;2.181;timbre;;True;neutral;;50;1;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
red:low;;;visual;0;neutral;;high;True;5.697;pitch;;True;red;;75;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
smooth:low;;;visual;0;pointy;;high;True;2.216;pitch;;True;neutral;;50;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Nina;keyboard;dk;rate_CMC;female;20;yes;553;no
