right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
red:light;;;visual;0;neutral;;;False;9.773;lightness;;True;blue;;30;7;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;30;yes;204;no
dark:square;;;visual;0;neutral;;neutral;True;3.303;timbre;;True;neutral;;45;1;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:sine;keyboard;en;rate_CMC;female;30;yes;204;no
simple:low;;;visual;0;neutral;;high;True;1.747;pitch;;True;neutral;;30;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:high;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:complex;;;visual;0;pointy;;;False;6.969;complexity;;True;neutral;;30;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:complex;keyboard;en;rate_CMC;female;30;yes;204;no
red:low;;;visual;0;neutral;;high;True;1.792;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:light;;;visual;0;pointy;;;False;6.379;lightness;;True;neutral;;30;2;rate;visual;dark;shape;;0;neutral;;smooth:dark;smooth:dark;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:low;;;visual;0;pointy;;high;True;1.285;pitch;;True;neutral;;30;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:blue;;;visual;0;pointy;;;False;1.344;hue;;True;red;;30;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:blue;keyboard;en;rate_CMC;female;30;yes;204;no
sine:low;;;auditory;0;neutral;;high;True;9.533;pitch;;1;neutral;;45;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;en;rate_CMC;female;30;yes;204;no
dark:low;;;visual;0;neutral;;high;True;1.153;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;dark:low;keyboard;en;rate_CMC;female;30;yes;204;no
red:square;;;visual;0;neutral;;neutral;True;1.148;timbre;;True;blue;;45;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;red:sine;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:square;;;visual;0;pointy;;neutral;True;2.225;timbre;;True;neutral;;30;2;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;smooth:square;keyboard;en;rate_CMC;female;30;yes;204;no
simple:square;;;visual;0;neutral;;neutral;True;3.399;timbre;;True;neutral;;45;5;rate;auditory;neutral;complexity;square;0;simple;;simple:sine;simple:sine;keyboard;en;rate_CMC;female;30;yes;204;no
simple:light;;;visual;0;neutral;;;False;6.38;lightness;;True;neutral;;45;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;30;yes;204;no
simple:blue;;;visual;0;neutral;;;False;6.153;hue;;True;red;;30;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:blue;keyboard;en;rate_CMC;female;30;yes;204;no
red:light;;;visual;0;neutral;;;False;6.297;lightness;;True;blue;;30;4;rate;visual;dark;hue;;0;neutral;;red:dark;blue:light;keyboard;en;rate_CMC;female;30;yes;204;no
dark:square;;;visual;0;neutral;;neutral;True;2.762;timbre;;True;neutral;;30;2;rate;auditory;dark;lightness;sine;0;neutral;;dark:sine;dark:sine;keyboard;en;rate_CMC;female;30;yes;204;no
simple:low;;;visual;0;neutral;;high;True;7.263;pitch;;True;neutral;;30;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:high;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:complex;;;visual;0;pointy;;;False;7.041;complexity;;True;neutral;;45;6;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:complex;keyboard;en;rate_CMC;female;30;yes;204;no
red:low;;;visual;0;neutral;;low;True;3.95;pitch;;True;blue;;30;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:light;;;visual;0;pointy;;;False;7.634;lightness;;True;neutral;;30;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:light;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:low;;;visual;0;pointy;;high;True;2.267;pitch;;True;neutral;;45;7;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:blue;;;visual;0;pointy;;;False;6.162;hue;;True;red;;30;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:red;keyboard;en;rate_CMC;female;30;yes;204;no
sine:low;;;auditory;0;neutral;;high;True;7.939;pitch;;1;neutral;;30;6;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;en;rate_CMC;female;30;yes;204;no
dark:low;;;visual;0;neutral;;high;True;1.613;pitch;;True;neutral;;45;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;dark:high;keyboard;en;rate_CMC;female;30;yes;204;no
red:square;;;visual;0;neutral;;neutral;True;4.152;timbre;;True;blue;;30;7;rate;auditory;neutral;hue;square;0;neutral;;red:sine;red:sine;keyboard;en;rate_CMC;female;30;yes;204;no
smooth:square;;;visual;0;smooth;;neutral;True;2.137;timbre;;True;neutral;;45;1;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:square;keyboard;en;rate_CMC;female;30;yes;204;no
