right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
smooth:square;;;visual;0;pointy;;neutral;True;104.654;timbre;;True;neutral;;30;4;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:square;keyboard;dk;rate_CMC;female;23;yes;207;no
dark:square;;;visual;0;neutral;;neutral;True;10.673;timbre;;True;neutral;;30;6;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;dark:sine;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:complex;;;visual;0;pointy;;;False;52.233;complexity;;True;neutral;;30;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:simple;keyboard;dk;rate_CMC;female;23;yes;207;no
red:low;;;visual;0;neutral;;high;True;28.106;pitch;;True;red;;30;3;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:low;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:blue;;;visual;0;pointy;;;False;21.619;hue;;True;red;;30;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;dk;rate_CMC;female;23;yes;207;no
dark:low;;;visual;0;neutral;;high;True;4.45;pitch;;True;neutral;;45;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;dark:low;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:low;;;visual;0;neutral;;high;True;5.15;pitch;;True;neutral;;30;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:high;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:light;;;visual;0;pointy;;;False;26.148;lightness;;True;neutral;;45;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:light;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:low;;;visual;0;pointy;;high;True;10.835;pitch;;True;neutral;;45;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:blue;;;visual;0;neutral;;;False;56.09;hue;;True;red;;45;5;rate;visual;neutral;complexity;;0;complex;;simple:red;simple:blue;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:square;;;visual;0;neutral;;neutral;True;3.596;timbre;;True;neutral;;30;2;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;complex:square;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:light;;;visual;0;neutral;;;False;13.564;lightness;;True;neutral;;30;5;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:light;keyboard;dk;rate_CMC;female;23;yes;207;no
red:light;;;visual;0;neutral;;;False;18.275;lightness;;True;blue;;45;4;rate;visual;dark;hue;;0;neutral;;red:dark;red:light;keyboard;dk;rate_CMC;female;23;yes;207;no
red:square;;;visual;0;neutral;;neutral;True;11.808;timbre;;True;blue;;45;3;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;red:square;keyboard;dk;rate_CMC;female;23;yes;207;no
sine:low;;;auditory;0;neutral;;high;True;14.495;pitch;;1;neutral;;45;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;sine:high;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:square;;;visual;0;pointy;;neutral;True;3.098;timbre;;True;neutral;;30;3;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;dk;rate_CMC;female;23;yes;207;no
dark:square;;;visual;0;neutral;;neutral;True;5.307;timbre;;True;neutral;;45;6;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:complex;;;visual;0;pointy;;;False;7.294;complexity;;True;neutral;;45;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:complex;keyboard;dk;rate_CMC;female;23;yes;207;no
red:low;;;visual;0;neutral;;high;True;5.091;pitch;;True;blue;;30;5;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:low;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:blue;;;visual;0;pointy;;;False;10.761;hue;;True;red;;45;4;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:blue;keyboard;dk;rate_CMC;female;23;yes;207;no
dark:low;;;visual;0;neutral;;high;True;20.97;pitch;;True;neutral;;45;3;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:low;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:low;;;visual;0;neutral;;high;True;1.081;pitch;;True;neutral;;30;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:low;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:light;;;visual;0;pointy;;;False;11.278;lightness;;True;neutral;;45;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:light;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:low;;;visual;0;pointy;;high;True;5.969;pitch;;True;neutral;;30;4;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:blue;;;visual;0;neutral;;;False;14.294;hue;;True;red;;30;4;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:square;;;visual;0;neutral;;neutral;True;2.316;timbre;;True;neutral;;30;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:light;;;visual;0;neutral;;;False;11.385;lightness;;True;neutral;;30;5;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:light;keyboard;dk;rate_CMC;female;23;yes;207;no
red:light;;;visual;0;neutral;;;False;6.765;lightness;;True;blue;;45;4;rate;visual;dark;hue;;0;neutral;;red:dark;red:light;keyboard;dk;rate_CMC;female;23;yes;207;no
red:square;;;visual;0;neutral;;neutral;True;2.119;timbre;;True;blue;;45;3;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;dk;rate_CMC;female;23;yes;207;no
sine:low;;;auditory;0;neutral;;high;True;7.109;pitch;;1;neutral;;30;5;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:square;;;visual;0;pointy;;neutral;True;1.434;timbre;;True;neutral;;30;3;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:square;keyboard;dk;rate_CMC;female;23;yes;207;no
dark:square;;;visual;0;neutral;;neutral;True;1.568;timbre;;True;neutral;;30;6;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;dark:sine;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:complex;;;visual;0;pointy;;;False;7.123;complexity;;True;neutral;;45;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:complex;keyboard;dk;rate_CMC;female;23;yes;207;no
red:low;;;visual;0;neutral;;high;True;1.373;pitch;;True;blue;;45;5;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:low;keyboard;dk;rate_CMC;female;23;yes;207;no
smooth:blue;;;visual;0;pointy;;;False;12.773;hue;;True;red;;45;4;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:red;keyboard;dk;rate_CMC;female;23;yes;207;no
dark:low;;;visual;0;neutral;;high;True;3.228;pitch;;True;neutral;;30;5;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;dark:low;keyboard;dk;rate_CMC;female;23;yes;207;no
simple:low;;;visual;0;neutral;;high;True;1.479;pitch;;True;neutral;;30;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:low;keyboard;dk;rate_CMC;female;23;yes;207;no
