right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
red:square;;;visual;0;neutral;;neutral;True;47.767;timbre;;True;red;;45;5;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;23;yes;202;no
simple:square;;;visual;0;neutral;;neutral;True;9.627;timbre;;True;neutral;;30;3;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;keyboard;en;rate_CMC;female;23;yes;202;no
simple:light;;;visual;0;neutral;;;False;22.313;lightness;;True;neutral;;30;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:light;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:square;;;visual;0;pointy;;neutral;True;3.569;timbre;;True;neutral;;45;3;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;keyboard;en;rate_CMC;female;23;yes;202;no
simple:low;;;visual;0;neutral;;high;True;8.675;pitch;;True;neutral;;30;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:low;keyboard;en;rate_CMC;female;23;yes;202;no
red:low;;;visual;0;neutral;;low;True;4.967;pitch;;True;blue;;30;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;23;yes;202;no
simple:blue;;;visual;0;neutral;;;False;23.786;hue;;True;red;;30;4;rate;visual;neutral;complexity;;0;complex;;simple:red;simple:blue;keyboard;en;rate_CMC;female;23;yes;202;no
dark:low;;;visual;0;neutral;;high;True;3.685;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:low;keyboard;en;rate_CMC;female;23;yes;202;no
sine:low;;;auditory;0;neutral;;high;True;33.156;pitch;;1;neutral;;45;3;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;sine:high;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:low;;;visual;0;pointy;;high;True;6.377;pitch;;True;neutral;;45;4;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:high;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:light;;;visual;0;pointy;;;False;14.471;lightness;;True;neutral;;45;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;smooth:dark;keyboard;en;rate_CMC;female;23;yes;202;no
dark:square;;;visual;0;neutral;;neutral;True;4.024;timbre;;True;neutral;;45;5;rate;auditory;dark;lightness;square;0;neutral;;dark:sine;light:square;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:complex;;;visual;0;pointy;;;False;46.323;complexity;;True;neutral;;30;4;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;23;yes;202;no
red:light;;;visual;0;neutral;;;False;18.026;lightness;;True;blue;;45;6;rate;visual;dark;hue;;0;neutral;;red:dark;red:dark;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:blue;;;visual;0;pointy;;;False;7.218;hue;;True;red;;45;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:blue;keyboard;en;rate_CMC;female;23;yes;202;no
red:square;;;visual;0;neutral;;neutral;True;16.071;timbre;;True;red;;30;5;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;keyboard;en;rate_CMC;female;23;yes;202;no
simple:square;;;visual;0;neutral;;neutral;True;3.305;timbre;;True;neutral;;45;3;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;complex:sine;keyboard;en;rate_CMC;female;23;yes;202;no
simple:light;;;visual;0;neutral;;;False;7.752;lightness;;True;neutral;;30;3;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:light;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:square;;;visual;0;pointy;;neutral;True;1.924;timbre;;True;neutral;;45;4;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;pointy:sine;keyboard;en;rate_CMC;female;23;yes;202;no
simple:low;;;visual;0;neutral;;high;True;3.662;pitch;;True;neutral;;30;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:low;keyboard;en;rate_CMC;female;23;yes;202;no
red:low;;;visual;0;neutral;;low;True;4.186;pitch;;True;blue;;45;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;keyboard;en;rate_CMC;female;23;yes;202;no
simple:blue;;;visual;0;neutral;;;False;13.048;hue;;True;red;;30;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;23;yes;202;no
dark:low;;;visual;0;neutral;;low;True;3.604;pitch;;True;neutral;;45;6;rate;auditory;dark;lightness;neutral;0;neutral;;dark:high;light:low;keyboard;en;rate_CMC;female;23;yes;202;no
sine:low;;;auditory;0;neutral;;high;True;8.699;pitch;;1;neutral;;45;3;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;sine:low;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:low;;;visual;0;pointy;;low;True;10.408;pitch;;True;neutral;;30;3;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;smooth:low;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:light;;;visual;0;pointy;;;False;11.522;lightness;;True;neutral;;45;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;smooth:light;keyboard;en;rate_CMC;female;23;yes;202;no
dark:square;;;visual;0;neutral;;neutral;True;7.465;timbre;;True;neutral;;30;5;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;dark:sine;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:complex;;;visual;0;pointy;;;False;9.004;complexity;;True;neutral;;30;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;23;yes;202;no
red:light;;;visual;0;neutral;;;False;9.619;lightness;;True;blue;;45;6;rate;visual;dark;hue;;0;neutral;;red:dark;red:dark;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:blue;;;visual;0;pointy;;;False;7.534;hue;;True;red;;45;2;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;23;yes;202;no
red:square;;;visual;0;neutral;;neutral;True;4.301;timbre;;True;red;;30;5;rate;auditory;neutral;hue;square;0;neutral;;red:sine;red:sine;keyboard;en;rate_CMC;female;23;yes;202;no
simple:square;;;visual;0;neutral;;neutral;True;2.081;timbre;;True;neutral;;45;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:square;keyboard;en;rate_CMC;female;23;yes;202;no
simple:light;;;visual;0;neutral;;;False;8.107;lightness;;True;neutral;;30;2;rate;visual;dark;complexity;;0;complex;;simple:dark;simple:light;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:square;;;visual;0;pointy;;neutral;True;2.67;timbre;;True;neutral;;45;3;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;keyboard;en;rate_CMC;female;23;yes;202;no
simple:low;;;visual;0;neutral;;high;True;5.025;pitch;;True;neutral;;45;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;simple:low;keyboard;en;rate_CMC;female;23;yes;202;no
red:low;;;visual;0;neutral;;low;True;2.946;pitch;;True;blue;;30;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;red:high;keyboard;en;rate_CMC;female;23;yes;202;no
simple:blue;;;visual;0;neutral;;;False;7.046;hue;;True;red;;30;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:blue;keyboard;en;rate_CMC;female;23;yes;202;no
dark:low;;;visual;0;neutral;;low;True;3.601;pitch;;True;neutral;;45;6;rate;auditory;dark;lightness;neutral;0;neutral;;dark:high;light:low;keyboard;en;rate_CMC;female;23;yes;202;no
sine:low;;;auditory;0;neutral;;low;True;3.242;pitch;;1;neutral;;30;2;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:high;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:low;;;visual;0;smooth;;low;True;3.311;pitch;;True;neutral;;30;5;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:light;;;visual;0;pointy;;;False;7.525;lightness;;True;neutral;;45;5;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;23;yes;202;no
dark:square;;;visual;0;neutral;;neutral;True;2.085;timbre;;True;neutral;;45;3;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:complex;;;visual;0;pointy;;;False;6.831;complexity;;True;neutral;;45;5;rate;visual;neutral;shape;;0;simple;;smooth:simple;smooth:simple;keyboard;en;rate_CMC;female;23;yes;202;no
red:light;;;visual;0;neutral;;;False;8.572;lightness;;True;blue;;45;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;23;yes;202;no
smooth:blue;;;visual;0;pointy;;;False;6.474;hue;;True;red;;45;3;rate;visual;neutral;shape;;0;neutral;;smooth:red;smooth:red;keyboard;en;rate_CMC;female;23;yes;202;no
