"dimension","in_favor_of","rating_CI","BF"
"shape:complexity","smooth:complex","-0.27 (-0.73 to 0.16)","3.663"
"complexity:pitch","simple:low","0.76 (0.39 to 1.13)","> 10^6"
"complexity:hue","simple:blue","0.24 (-0.06 to 0.56)","4.135"
"complexity:timbre","simple:square","-1.13 (-1.44 to -0.83)","> 10^6"
"hue:timbre","red:square","0.98 (0.57 to 1.34)","> 10^6"
"hue:pitch","red:low","-1.08 (-1.52 to -0.66)","> 10^6"
"lightness:timbre","dark:sine","1.52 (1.13 to 1.93)","> 10^6"
"shape:hue","smooth:blue","0.49 (0.17 to 0.82)","5.808"
"hue:lightness","red:light","0.11 (-0.35 to 0.59)","7.576"
"shape:timbre","smooth:sine","1.57 (1.23 to 1.92)","> 10^6"
"complexity:lightness","simple:light","-0.13 (-0.45 to 0.19)","8.387"
"shape:pitch","smooth:low","1.34 (0.99 to 1.69)","> 10^6"
"lightness:pitch","dark:low","2.12 (1.8 to 2.41)","> 10^6"
"shape:lightness","smooth:light","-0.3 (-0.73 to 0.09)","4.459"
"timbre:pitch","sine:low","0.54 (0.16 to 0.93)","5.259"
